,Question,Entities,Classes
13,Give me the homepage of Forbes.,"[[('http://dbpedia.org/resource/Forbes', 0.0072637442499399185), ('http://dbpedia.org/resource/Forbes_family', 0.00726329255849123), ('http://dbpedia.org/resource/Forbes_(engineering_company)', 0.007263191044330597), ('http://dbpedia.org/resource/Steve_Forbes', 0.007263158448040485), ('http://dbpedia.org/resource/Clan_Forbes', 0.007263094186782837)]]",[]
14,Give me the official websites of actors of the television show Charmed.,"[[('http://dbpedia.org/resource/Charmed', 0.007778293918818235), ('http://dbpedia.org/resource/Charmed_Again', 0.007777695544064045), ('http://dbpedia.org/resource/Charmed_(comics)', 0.007777601946145296), ('http://dbpedia.org/resource/Charmed_(group)', 0.007777594495564699), ('http://dbpedia.org/resource/Charmed_(season_7)', 0.007777569815516472)]]",[]
15,How big is the earth's diameter?,"[[('http://dbpedia.org/resource/Earth', 0.014032996259629726), ('http://dbpedia.org/resource/Earth_mass', 0.014031501486897469), ('http://dbpedia.org/resource/Atmosphere_of_Earth', 0.014031324535608292), ('http://dbpedia.org/resource/Earth_radius', 0.014031311497092247), ('http://dbpedia.org/resource/Earth_science', 0.014031235128641129)]]",[]
16,How deep is Lake Chiemsee?,"[[('http://dbpedia.org/resource/Chiemsee', 0.049148716032505035), ('http://dbpedia.org/resource/Chiemsee_(municipality)', 0.049145281314849854), ('http://dbpedia.org/resource/Rimsting', 0.02913222275674343), ('http://dbpedia.org/resource/Grassau,_Bavaria', 0.029130132868885994), ('http://dbpedia.org/resource/Bad_Endorf', 0.029126526787877083)]]",[]
17,How did Michael Jackson die?,"[[('http://dbpedia.org/resource/Michael_Jackson', 0.008010374382138252), ('http://dbpedia.org/resource/Michael_Jackson_(actor)', 0.008009849116206169), ('http://dbpedia.org/resource/Michael_Jackson_(basketball)', 0.008009800687432289), ('http://dbpedia.org/resource/Michael_J._Jackson', 0.008009789511561394), ('http://dbpedia.org/resource/Michael_P._Jackson', 0.008009771816432476)]]",[]
18,How many awards has Bertrand Russell?,"[[('http://dbpedia.org/resource/Bertrand_Russell', 0.008663778193295002), (""http://dbpedia.org/resource/Bertrand_Russell's_views_on_society"", 0.008662420324981213), ('http://dbpedia.org/resource/The_Bertrand_Russell_Case', 0.008662382140755653), (""http://dbpedia.org/resource/Bertrand_Russell's_views_on_philosophy"", 0.008662295527756214), ('http://dbpedia.org/resource/Frank_Russell,_2nd_Earl_Russell', 0.008662224747240543)]]",[]
19,How many companies were founded by the founder of Facebook?,"[[('http://dbpedia.org/resource/Facebook', 0.007902824319899082), ('http://dbpedia.org/resource/Facebook_Platform', 0.007901388220489025), ('http://dbpedia.org/resource/Initial_public_offering_of_Facebook', 0.0079012056812644), ('http://dbpedia.org/resource/Facebook,_Inc._v._Power_Ventures,_Inc.', 0.007901146076619625), ('http://dbpedia.org/resource/History_of_Facebook', 0.007901129312813282)]]",[]
20,How many gold medals did Michael Phelps win at the 2008 Olympics?,"[[('http://dbpedia.org/resource/Michael_Phelps', 0.010170882567763329), ('http://dbpedia.org/resource/Mike_Phelps', 0.01016944833099842), ('http://dbpedia.org/resource/Michael_E._Phelps', 0.01016938965767622), ('http://dbpedia.org/resource/Hello,_Dolly!_(soundtrack)', 0.00602875929325819), ('http://dbpedia.org/resource/Taking_Chance', 0.006028718780726194)]]",[]
21,How many grand-children did Jacques Cousteau have?,"[[('http://dbpedia.org/resource/Jacques_Cousteau', 0.01620914228260517), ('http://dbpedia.org/resource/Philippe_Cousteau', 0.0162076186388731), ('http://dbpedia.org/resource/Jean-Michel_Cousteau', 0.01620742678642273), ('http://dbpedia.org/resource/Pierre-Antoine_Cousteau', 0.01620730757713318), ('http://dbpedia.org/resource/Fabien_Cousteau', 0.016207143664360046)]]",[]
22,How many moons does Mars have?,"[[('http://dbpedia.org/resource/Mars', 0.010436344891786575), ('http://dbpedia.org/resource/Moons_of_Mars', 0.010435021482408047), ('http://dbpedia.org/resource/Astronomy_on_Mars', 0.010435008443892002), ('http://dbpedia.org/resource/Climate_of_Mars', 0.010434960015118122), ('http://dbpedia.org/resource/Human_mission_to_Mars', 0.010434937663376331)]]",[]
23,How many rivers and lakes are in South Carolina?,"[[('http://dbpedia.org/resource/South_Carolina', 0.016952620819211006), ('http://dbpedia.org/resource/University_of_South_Carolina', 0.016950171440839767), ('http://dbpedia.org/resource/Province_of_South_Carolina', 0.016950145363807678), ('http://dbpedia.org/resource/Upstate_South_Carolina', 0.016949918121099472), ('http://dbpedia.org/resource/Charleston,_South_Carolina', 0.01694987155497074)]]",[]
24,How many scientists graduated from an Ivy League university?,"[[('http://dbpedia.org/resource/Ivy_League', 0.017567336559295654), ('http://dbpedia.org/resource/Ivy_Preparatory_School_League', 0.01756546087563038), ('http://dbpedia.org/resource/Ivy_League_(haircut)', 0.017565207555890083), ('http://dbpedia.org/resource/Black_Ivy_League', 0.017565153539180756), ('http://dbpedia.org/resource/List_of_Ivy_League_law_schools', 0.01756502501666546)]]",[]
25,How many years was the Ford Model T manufactured?,"[[('http://dbpedia.org/resource/Ford_Model_T', 0.006833246443420649), ('http://dbpedia.org/resource/Ford_Model_T_engine', 0.0068328711204230785), ('http://dbpedia.org/resource/Ford_Model_TT', 0.006832767277956009), ('http://dbpedia.org/resource/Ford_GT', 0.006832641549408436), ('http://dbpedia.org/resource/Ford_Model_A_(1927–31)', 0.006832640618085861)]]",[]
26,In which city is the headquarter of Air China?,"[[('http://dbpedia.org/resource/Air_China', 0.009861094877123833), ('http://dbpedia.org/resource/China_Airlines', 0.009860259480774403), ('http://dbpedia.org/resource/Air_China_Cargo', 0.00986010953783989), ('http://dbpedia.org/resource/China_Eastern_Airlines', 0.009860106743872166), ('http://dbpedia.org/resource/Republic_of_China_Air_Force', 0.00986009556800127)]]",[]
27,In which city was the president of Montenegro born?,"[[('http://dbpedia.org/resource/City', 0.01512299943715334), ('http://dbpedia.org/resource/North_Vancouver_(city)', 0.008961198851466179), ('http://dbpedia.org/resource/Utrecht_(city)', 0.008960580453276634), ('http://dbpedia.org/resource/Split_(city)', 0.008959674276411533), ('http://dbpedia.org/resource/Zamboanga_City', 0.008959445171058178)], [('http://dbpedia.org/resource/President_of_Montenegro', 0.008594097569584846), ('http://dbpedia.org/resource/President_of_Serbia_and_Montenegro', 0.008593757636845112), ('http://dbpedia.org/resource/List_of_Presidents_of_Montenegro', 0.008593698963522911), ('http://dbpedia.org/resource/President_of_the_Parliament_of_Montenegro', 0.008593695238232613), ('http://dbpedia.org/resource/List_of_Presidents_of_the_Assembly_of_Serbia_and_Montenegro', 0.008593249134719372)]]",[]
28,In which studio did the Beatles record their first album?,"[[('http://dbpedia.org/resource/The_Beatles', 0.015335358679294586), ('http://dbpedia.org/resource/The_Beatles_(album)', 0.015332990325987339), ('http://dbpedia.org/resource/With_the_Beatles', 0.01533278077840805), (""http://dbpedia.org/resource/The_Beatles'_recording_sessions"", 0.015332600101828575), ('http://dbpedia.org/resource/The_Beatles_(TV_series)', 0.015332525596022606)]]",[]
29,Is Pamela Anderson a vegan?,"[[('http://dbpedia.org/resource/Pamela_Anderson', 0.025297218933701515), ('http://dbpedia.org/resource/Pamela_Sue_Anderson', 0.025295069441199303), ('http://dbpedia.org/resource/Pamela_K._Anderson', 0.025294829159975052), ('http://dbpedia.org/resource/Pamela_Andersson', 0.025293905287981033), ('http://dbpedia.org/resource/Stories_from_a_Blue_Room', 0.014995384030044079)]]",[]
30,Is the wife of President Obama called Michelle?,"[[('http://dbpedia.org/resource/Barack_Obama', 0.0074692401103675365), ('http://dbpedia.org/resource/Presidency_of_Barack_Obama', 0.0074684196151793), ('http://dbpedia.org/resource/Michelle_Obama', 0.007468305993825197), ('http://dbpedia.org/resource/Presidential_transition_of_Barack_Obama', 0.007467920891940594), ('http://dbpedia.org/resource/Barack_Obama_Sr.', 0.007467883173376322)]]",[]
31,Sean Parnell was the governor of which U.S. state?,"[[('http://dbpedia.org/resource/Sean_Parnell', 0.021732142195105553), ('http://dbpedia.org/resource/Ada_(food)', 0.012942210771143436), ('http://dbpedia.org/resource/Pomiechowo', 0.012880819849669933), ('http://dbpedia.org/resource/Fidèle_(dog)', 0.012879600748419762), ('http://dbpedia.org/resource/Parnall_Pipit', 0.012878361158072948)]]",[]
32,Show me all Czech movies.,"[[('http://dbpedia.org/resource/Czech_language', 0.053193558007478714), ('http://dbpedia.org/resource/Czech_Republic', 0.05319323390722275), ('http://dbpedia.org/resource/Czechoslovakia', 0.053190942853689194), ('http://dbpedia.org/resource/Czech_Airlines', 0.05318932235240936), ('http://dbpedia.org/resource/Czech_Technical_University_in_Prague', 0.031510841101408005)]]",[]
33,Show me hiking trails in the Grand Canyon where there's no danger of flash floods.,"[[('http://dbpedia.org/resource/Grand_Canyon', 0.008285298943519592), ('http://dbpedia.org/resource/Grand_Canyon_National_Park', 0.008284748531877995), ('http://dbpedia.org/resource/Grand_Canyon_of_the_Yellowstone', 0.008284437470138073), ('http://dbpedia.org/resource/Grand_Canyon_Caverns', 0.00828438438475132), ('http://dbpedia.org/resource/Grand_Canyon_of_the_Tuolumne', 0.008284286595880985)]]",[]
34,What are the names of the Teenage Mutant Ninja Turtles?,"[[('http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles', 0.007396696135401726), ('http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_(Mirage_Studios)', 0.007396458648145199), ('http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_(IDW_Publishing)', 0.007396093104034662), ('http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_(1990_film)', 0.00739607447758317), ('http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_(Dreamwave_Productions)', 0.0073960693553090096)]]",[]
35,What are the nicknames of San Francisco?,"[[('http://dbpedia.org/resource/San_Francisco', 0.027430925518274307), ('http://dbpedia.org/resource/San_Francisco_49ers', 0.027428748086094856), ('http://dbpedia.org/resource/South_San_Francisco,_California', 0.02742827869951725), ('http://dbpedia.org/resource/University_of_San_Francisco', 0.027428176254034042), ('http://dbpedia.org/resource/San_Francisco_Giants', 0.02742813713848591)]]",[]
36,What is Angela Merkel’s birth name?,"[[('http://dbpedia.org/resource/Angela_Merkel', 0.012758582830429077), ('http://dbpedia.org/resource/First_Merkel_cabinet', 0.012755959294736385), ('http://dbpedia.org/resource/The_World_as_It_Is_(book)', 0.007562786340713501), ('http://dbpedia.org/resource/Slow_Buildings', 0.0075622545555233955), ('http://dbpedia.org/resource/Plug-in_electric_vehicles_in_Germany', 0.007561905775219202)]]",[]
37,What is Batman's real name?,"[[('http://dbpedia.org/resource/Batman', 0.00882790982723236), ('http://dbpedia.org/resource/Batman_(comic_book)', 0.008827327750623226), ('http://dbpedia.org/resource/Batman_(TV_series)', 0.00882728211581707), ('http://dbpedia.org/resource/Batman_(Earth-Two)', 0.008827241137623787), ('http://dbpedia.org/resource/Batman_(Terry_McGinnis)', 0.008827158249914646)]]",[]
38,What is Elon Musk famous for?,"[[('http://dbpedia.org/resource/Elon_Musk', 0.016605980694293976), ('http://dbpedia.org/resource/Do_You_Trust_This_Computer?', 0.009929083287715912), ('http://dbpedia.org/resource/TSLAQ', 0.009844496846199036), ('http://dbpedia.org/resource/History_of_SpaceX', 0.009842205792665482), ('http://dbpedia.org/resource/The_Space_Barons', 0.009841853752732277)]]",[]
39,What is the area code of Berlin?,"[[('http://dbpedia.org/resource/Berlin', 0.016285693272948265), ('http://dbpedia.org/resource/Berlin,_New_Hampshire', 0.016284385696053505), ('http://dbpedia.org/resource/Berlin_Hauptbahnhof', 0.016284184530377388), ('http://dbpedia.org/resource/Berlin,_Wisconsin', 0.01628417707979679), ('http://dbpedia.org/resource/Berlin,_Maryland', 0.016284039244055748)]]",[]
40,What is the atmosphere of the Moon composed of?,"[[('http://dbpedia.org/resource/Moon', 0.010033205151557922), ('http://dbpedia.org/resource/Minor-planet_moon', 0.010031918063759804), ('http://dbpedia.org/resource/Orbit_of_the_Moon', 0.010031773708760738), ('http://dbpedia.org/resource/Moon_landing', 0.010031689889729023), ('http://dbpedia.org/resource/Io_(moon)', 0.010031605139374733)]]",[]
41,What is the founding year of the brewery that produces Pilsner Urquell?,"[[('http://dbpedia.org/resource/Pilsner_Urquell', 0.075284443795681), ('http://dbpedia.org/resource/Pilsner_Urquell_Brewery', 0.07528232783079147), ('http://dbpedia.org/resource/Pilsner', 0.075278140604496), ('http://dbpedia.org/resource/Josef_Groll', 0.07527507841587067), ('http://dbpedia.org/resource/Pale_lager', 0.0752735510468483)]]",[]
42,What is the highest mountain in Germany?,"[[('http://dbpedia.org/resource/Germany', 0.03637464717030525), ('http://dbpedia.org/resource/German_Empire', 0.03637055680155754), ('http://dbpedia.org/resource/German_language', 0.036370303481817245), ('http://dbpedia.org/resource/Nazi_Germany', 0.036370161920785904), ('http://dbpedia.org/resource/West_Germany', 0.036369554698467255)]]",[]
43,What is the highest place of Karakoram?,"[[('http://dbpedia.org/resource/Karakoram', 0.007917013950645924), ('http://dbpedia.org/resource/Karakorum', 0.007916601374745369), ('http://dbpedia.org/resource/Karakoram_Pass', 0.00791643001139164), ('http://dbpedia.org/resource/Central_Karakoram_National_Park', 0.007916206493973732), ('http://dbpedia.org/resource/Karakore', 0.00791619811207056)]]",[]
44,What is the highest volcano in Africa?,"[[('http://dbpedia.org/resource/Africa', 0.041380707174539566), ('http://dbpedia.org/resource/West_Africa', 0.04137568175792694), ('http://dbpedia.org/resource/Sub-Saharan_Africa', 0.04137526452541351), ('http://dbpedia.org/resource/Horn_of_Africa', 0.04137514904141426), ('http://dbpedia.org/resource/North_Africa', 0.04137483611702919)]]",[]
45,What is the longest river in China?,"[[('http://dbpedia.org/resource/China', 0.02956581488251686), ('http://dbpedia.org/resource/History_of_China', 0.029562553390860558), ('http://dbpedia.org/resource/Mainland_China', 0.0295623280107975), ('http://dbpedia.org/resource/Time_in_China', 0.029562070965766907), ('http://dbpedia.org/resource/Government_of_China', 0.02956174872815609)]]",[]
46,What is the name of the university where Obama's wife studied?,"[[('http://dbpedia.org/resource/Barack_Obama', 0.010184305720031261), ('http://dbpedia.org/resource/Michelle_Obama', 0.010183128528296947), ('http://dbpedia.org/resource/Barack_Obama_Sr.', 0.010183060541749), ('http://dbpedia.org/resource/Presidency_of_Barack_Obama', 0.010183020494878292), ('http://dbpedia.org/resource/Ricardo_Mangue_Obama_Nfubea', 0.010182767175137997)]]",[]
47,What is the nick name of Baghdad?,"[[('http://dbpedia.org/resource/Baghdad', 0.010574253275990486), ('http://dbpedia.org/resource/Baghdad_Governorate', 0.01057346910238266), ('http://dbpedia.org/resource/Timeline_of_Baghdad', 0.010573145002126694), ('http://dbpedia.org/resource/Baghdad_Vilayet', 0.01057314220815897), ('http://dbpedia.org/resource/History_of_Baghdad', 0.010573136620223522)]]",[]
48,What is the profession of Frank Herbert?,"[[('http://dbpedia.org/resource/Frank_Herbert', 0.008386282250285149), ('http://dbpedia.org/resource/Frank_Herbert_(politician)', 0.008386034518480301), ('http://dbpedia.org/resource/Henry_William_Herbert', 0.008385819382965565), ('http://dbpedia.org/resource/Frank_Herbert_Mitchell', 0.008385695517063141), ('http://dbpedia.org/resource/The_Book_of_Frank_Herbert', 0.008385536260902882)]]",[]
49,What is the revenue of IBM?,"[[('http://dbpedia.org/resource/IBM', 0.009092215448617935), ('http://dbpedia.org/resource/IBM_Research', 0.009091349318623543), ('http://dbpedia.org/resource/History_of_IBM', 0.009090984240174294), ('http://dbpedia.org/resource/IBM_Global_Services', 0.00909096747636795), ('http://dbpedia.org/resource/IBM_mainframe', 0.009090801700949669)]]",[]
50,What is the time zone of Salt Lake City?,"[[('http://dbpedia.org/resource/Salt_Lake_City', 0.011051448993384838), ('http://dbpedia.org/resource/Climate_of_Salt_Lake_City', 0.011050337925553322), ('http://dbpedia.org/resource/Central_City,_Salt_Lake_City', 0.011050183326005936), ('http://dbpedia.org/resource/Salt_Lake_City_metropolitan_area', 0.011050165630877018), ('http://dbpedia.org/resource/Salt_Lake_City_International_Airport', 0.011050140485167503)]]",[]
51,What is the wavelength of Indigo?,"[[('http://dbpedia.org/resource/Indigo', 0.01172205526381731), ('http://dbpedia.org/resource/Indigo_dye', 0.011721505783498287), ('http://dbpedia.org/resource/IndiGo', 0.011721208691596985), ('http://dbpedia.org/resource/Indigo_(actress)', 0.011721036396920681), ('http://dbpedia.org/resource/Indigo_carmine', 0.011720918118953705)]]",[]
52,What languages are spoken in Pakistan?,"[[('http://dbpedia.org/resource/Pakistan', 0.019272755831480026), ('http://dbpedia.org/resource/Dominion_of_Pakistan', 0.019270675256848335), ('http://dbpedia.org/resource/Pakistan_Railways', 0.01927025243639946), ('http://dbpedia.org/resource/Pakistan_Movement', 0.019270194694399834), ('http://dbpedia.org/resource/Government_of_Pakistan', 0.0192701555788517)]]",[]
53,What was the name of the famous battle in 1836 in San Antonio?,"[[('http://dbpedia.org/resource/San_Antonio', 0.019005849957466125), ('http://dbpedia.org/resource/San_Antonio_de_Padua', 0.019005797803401947), ('http://dbpedia.org/resource/San_Antonio,_Florida', 0.01900557428598404), ('http://dbpedia.org/resource/San_Antonio,_Quezon', 0.01900550164282322), ('http://dbpedia.org/resource/San_Antonio,_Chile', 0.01900542341172695)]]",[]
54,What were the names of the three ships by Columbus?,"[[('http://dbpedia.org/resource/Christopher_Columbus', 0.01784781739115715), ('http://dbpedia.org/resource/Diego_Columbus', 0.017846208065748215), ('http://dbpedia.org/resource/Voyages_of_Christopher_Columbus', 0.017845923081040382), ('http://dbpedia.org/resource/Bartholomew_Columbus', 0.01784588024020195), ('http://dbpedia.org/resource/Columbus,_Ohio', 0.01784585602581501)]]",[]
55,When did Dracula's creator die?,"[[('http://dbpedia.org/resource/Dracula', 0.007990505546331406), ('http://dbpedia.org/resource/Dracula_(Marvel_Comics)', 0.007990184240043163), ('http://dbpedia.org/resource/Dracula_(Castlevania)', 0.007990174926817417), ('http://dbpedia.org/resource/Count_Dracula', 0.007990174926817417), ('http://dbpedia.org/resource/Don_Dracula', 0.007990093901753426)]]",[]
56,When did Finland join the EU?,"[[('http://dbpedia.org/resource/Finland', 0.043936360627412796), ('http://dbpedia.org/resource/Grand_Duchy_of_Finland', 0.04393043369054794), ('http://dbpedia.org/resource/History_of_Finland', 0.043930333107709885), ('http://dbpedia.org/resource/Lapland_(Finland)', 0.043930113315582275), ('http://dbpedia.org/resource/Gulf_of_Finland', 0.04393003508448601)]]",[]
57,When did Michael Jackson die?,"[[('http://dbpedia.org/resource/Michael_Jackson', 0.007946895435452461), ('http://dbpedia.org/resource/Michael_Jackson_(actor)', 0.007946415804326534), ('http://dbpedia.org/resource/Michael_Jackson_(basketball)', 0.00794638879597187), ('http://dbpedia.org/resource/Michael_J._Jackson', 0.007946358062326908), ('http://dbpedia.org/resource/Michael_P._Jackson', 0.007946338504552841)]]",[]
58,When did Muhammad die?,"[[('http://dbpedia.org/resource/Muhammad', 0.008858667686581612), ('http://dbpedia.org/resource/Muhammad_Ahmad', 0.008857905864715576), ('http://dbpedia.org/resource/Muhammad_in_Islam', 0.008857893757522106), ('http://dbpedia.org/resource/Ali_Mahdi_Muhammad', 0.008857864886522293), ('http://dbpedia.org/resource/Muhammad_al-Baqir', 0.008857859298586845)]]",[]
59,When did Paraguay proclaim its independence?,"[[('http://dbpedia.org/resource/Paraguay', 0.01576010137796402), ('http://dbpedia.org/resource/History_of_Paraguay', 0.015758220106363297), ('http://dbpedia.org/resource/Germans_in_Paraguay', 0.01575808972120285), ('http://dbpedia.org/resource/Paraguay_national_football_team', 0.015758074820041656), ('http://dbpedia.org/resource/Politics_of_Paraguay', 0.015758007764816284)]]",[]
60,When did princess Diana die?,"[[('http://dbpedia.org/resource/Diana,_Princess_of_Wales', 0.00841204822063446), ('http://dbpedia.org/resource/Princess_Charlotte_of_Cambridge', 0.008411225862801075), ('http://dbpedia.org/resource/Diana_Beauclerk,_Duchess_of_St_Albans', 0.008411207236349583), ('http://dbpedia.org/resource/Cynthia_Spencer,_Countess_Spencer', 0.008411145769059658), ('http://dbpedia.org/resource/Kate_Snell', 0.0049850973300635815)]]",[]
61,When did the Boston Tea Party take place?,"[[('http://dbpedia.org/resource/Boston_Tea_Party', 0.007700495421886444), ('http://dbpedia.org/resource/Boston_Tea_Party_(concert_venue)', 0.007700138725340366), ('http://dbpedia.org/resource/Boston_Tea_Party_(political_party)', 0.007699962239712477), ('http://dbpedia.org/resource/Philadelphia_Tea_Party', 0.007699916604906321), ('http://dbpedia.org/resource/Boston_Tea_Party_(café_chain)', 0.007699910085648298)]]",[]
62,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,"[[('http://dbpedia.org/resource/Worst-case_scenario', 0.024765554815530777), ('http://dbpedia.org/resource/Worst_Case_Scenario_(film)', 0.024764465168118477), ('http://dbpedia.org/resource/Worst_Case_Scenario_(song)', 0.024763409048318863), ('http://dbpedia.org/resource/Worst_Case_Scenario_(Star_Trek:_Voyager)', 0.024763332679867744), ('http://dbpedia.org/resource/Worst_Case_Scenario_(album)', 0.024763045832514763)]]",[]
